Alpha_Node,Total_Support
SLC4A7,361
MYO5B,361
GPAA1,327
RPS25,371
SECTM1,357
PSCD3,355
HINT1,371
YWHAG,403
HYPC,389
HYPK,389
MTHFS,355
DMC1,383
ITGB1BP3,341
MOAP1,485
UBL5,359
CCR1,375
HMGA1,199
CUGBP1,365
SYTL4,427
PECAM1,293
FGF12,361
RUSC1,365
VAMP2,349
CSRP3,325
AVPR1A,381
ACTC,415
TADA2L,391
ZNF7,381
VEGF,373
CHMP7,365
ZNF10,359
FBXW5,409
PARVA,349
HCRTR1,365
MRE11A,299
USP9X,295
FGF3,357
PSMC6,447
GBP2,199
FLJ34283,359
KLHL12,395
OSTF1,383
CHRM3,353
DNCL2A,357
FLNC,373
KCNK3,365
PCNA,-93
PSMC2,383
MGC3731,389
SLC22A12,361
ERH,785
RAD51AP1,381
FLJ22746,527
MYB,321
APH1B,309
DDX49,365
HIST1H3A,363
FOSB,49
EPS8,453
SFRS6,361
CALCR,359
FPRL1,361
P53AIP1,353
LOXL3,359
RBM30,361
N4BP3,357
LSM1,277
XPC,361
MEIS1,357
BIRC3,393
APPBP2,359
SUMO3,279
PYGM,357
TNNI1,431
MYST4,385
ERCC5,341
GABRA4,361
RAD51C,359
EIF5B,361
ALS2CR3,361
TACSTD1,359
ABCD3,377
STAG2,357
DEFA1,351
HIP1,349
C6orf55,437
MYH9,825
MPHOSPH1,339
SERPINI1,359
ZNF446,395
MCM2,345
CASP10,295
ZBTB5,433
PTK2,695
CNOT2,361
CCHCR1,355
ACOX1,359
GSTO1,537
POLE,345
BCR,775
C11orf30,399
ANTXR2,35
KBTBD7,357
KBTBD4,361
HIST1H4A,337
EHD1,363
RPP40,361
XPO5,347
PIN4,359
SSTR5,359
ANAPC5,371
MLF1,391
CRABP1,361
NXF5,357
CREB5,279
CHRNB1,371
LOX,359
PBX2,371
SCNN1G,391
SGCA,593
SHOC2,355
SYBL1,353
F3,353
BHLHB2,329
SETBP1,365
FABP1,355
AD023,353
SOD2,383
SIVA,365
ACR,361
IGFBP4,359
CSRP2BP,371
ARF4L,461
RAB10,361
IL13,269
SON,425
NOL3,351
SH3MD2,359
PHF23,359
TAF9,453
RASA3,383
PRKD2,321
KLK10,247
FLT3,571
C4A,361
LOC339231,361
Bles03,355
WRN,785
CDC42EP1,-67
TRIM31,-27
NFYC,-189
ARID3A,-37
MYO18A,-45
DIAPH2,-47
RFP,-175
TRAF6,-1
F9,-69
Cep152,-47
IL12RB2,29
ACTR2,-1
EFNA1,75
SNIP1,-195
ATP6AP1,-45
LMO4,81
76P,-63
APEH,-47
HCNGP,23
FKBP10,-47
ZYX,131
NPY,-45
SCN4B,-47
STARS,-41
TRG20,-7
TCTE1L,-41
STXBP3,-47
SPAG5,-5
HTR2A,31
LYN,41
CBX5,-73
MYOZ1,-59
IQCG,-53
CTSH,-41
BAALC,-41
QTRT1,-119
CDH2,-35
SLAMF6,15
SCN3A,-69
RPLP0,131
ADIPOR2,-49
TRPM2,-31
TRIM9,-41
MAPT,-153
NSD1,-89
RIBC2,-57
DKC1,-21
LRAT,-45
GPR40,-39
HIPK2,407
ARMC7,-41
CREBL1,11
WSB2,-9
VBP1,-45
NUP133,-33
TEAD2,-43
HRBL,-25
MAP3K8,-9
TACR1,-43
TOLLIP,-123
DARS,63
ASGR2,-47
JAM2,-35
SH2D1A,-95
BBS2,-47
PTGS2,579
SLC22A1,-45
PTEN,691
C2orf18,-85
ZAK,-3
MSH4,-43
BTC,-103
ZNF646,-75
ADPRHL2,23
CNTNAP3,-45
GDNF,9
PCNT2,-43
FHIT,-93
GRID2,-55
DHX38,-45
RPLP2,237
SAFB,-33
RANBP10,-33
ADORA2A,-13
MYO1C,41
SNAI1,-55
MMP16,-71
IPO8,-5
RARA,-347
CDKN1C,-43
RPIA,-255
KCNRG,-1
ANKRD7,-45
TYK2,-49
APOA1BP,23
GRIA3,-35
DEF6,-61
POU2F1,-327
SIX6,-13
NAPG,-45
PTP4A1,-47
KHDRBS1,-185
PPP2CA,655
GJA3,-25
NDUFAF1,-69
THBS1,61
SELE,303
LRFN1,-45
PLXNB1,-21
MGC3207,-33
NDUFV2,-21
THSD1,-51
KCNE4,-59
NF1,17
COL1A1,245
VANGL2,9
ITGAD,-47
BCOR,-91
TMEM43,-27
NRCAM,-43
SLC25A1,27
OPN1LW,-39
EDD1,-231
GIT1,57
LYAR,-19
SCYL2,9
IL10RA,15
KIR2DS2,-45
TRPC6,-53
CHRAC1,-45
TRIAD3,-43
EIF4ENIF1,-125
MAST2,3
BACH1,-99
DRD1,25
MSH3,-31
TXNIP,-23
ORC4L,9
SCTR,-57
PCYT1A,-33
RPGR,-41
AKAP13,-41
APEX2,9
CHMP4C,-49
CD80,-11
DCP2,-7
ARHGEF6,-13
ESR1,-53
BCS1L,-29
SMS,-5
SELP,-47
PTMS,-101
STMN4,-43
COL2A1,-45
TG,-53
ZC3H7A,-45
TCEB3,-53
CDCA3,-17
ZCCHC12,-45
RASA2,-43
CALB1,5
NBN,-33
GALR1,-45
BRAP,-65
EIF3S2,-51
EIF2B4,-63
CD79B,-29
KRT7,-67
TPD52,-47
RGS1,-7
UCP2,-71
SLC25A20,-49
SPN,-111
EP300,505
DEFB103A,-47
IRF7,-37
PROS1,-25
TXNRD2,-45
HSPE1,325
ST3GAL4,-45
SMEK2,-47
STAU,-51
MUSK,-23
TAP1,-35
CKAP4,323
RELN,-47
TUBG1,69
CCR4,-7
MLLT6,-31
MAPK6,-47
RPL29,235
VPS24,-59
RBM8A,-43
SERF2,-35
RBP2,-37
HPCL2,-47
APH1A,-43
RND2,-41
MADCAM1,-9
AGC1,-43
STX18,-45
C14orf44,-227
FGF13,-45
COL23A1,-47
LRRC1,11
PFKFB2,-81
C9orf25,-47
MYL6,213
WWTR1,-1
CRYGC,-51
SNCAIP,-1
RPP38,-45
PNKP,-41
NARF,-47
PRL,-51
SCFD1,19
ABCD2,-7
SSR3,-9
DNMT3A,-125
DMBT1,-45
AP4E1,-45
C9orf86,-17
PDCD11,-49
SUV39H2,-89
ARF3,-45
CBX1,51
TDP1,-55
SLC9A2,-151
PTK6,-77
DAXX,725
KCTD4,9
LOC112869,-61
PMM1,-45
TNFSF8,-33
MSH5,-45
GLRA2,-49
REG3A,-53
C10orf7,-49
CMIP,-9
MID1IP1,-47
DCTN1,-3
RPL26,239
KIF1C,-69
MLLT10,-45
PKM2,315
FZD1,-45
ZNF174,-57
PPARGC1A,-105
GNAI3,17
OLFM3,-47
SLC16A3,-45
HMG20B,-81
XRCC6,455
MRAS,17
GSTM2,17
TFRC,47
FSTL3,-161
EPAS1,-137
MYLK,-49
ADCY5,-51
GPR37,-39
NCK1,143
BCL3,-129
KLF5,-111
HIST2H3C,-47
CARD11,-29
DLL4,-21
SLBP,-17
PRKCABP,-45
EEF1A1,267
TXN,-123
RAP1GA1,-3
C1orf165,-27
FMNL2,-17
C8orf32,-67
RAB9A,-5
HLA-DOA,-45
ATP5J2,-29
ARFGEF1,21
VAMP1,-43
MLH3,-47
TOMM34,-73
PRIM1,-41
CTBP2,-49
DOK1,31
DDR2,-17
SAFB2,-43
DMN,-35
PAX7,-47
HOP,-23
C1orf166,-45
ARHGAP4,-45
MPP6,-19
PPL,-7
POLR2E,-47
IMMT,-59
CETN3,15
MAGEA12,-19
GRAP2,119
DTX2,-77
WNT2,-41
ZSWIM2,-71
TCF3,-297
TRIOBP,-85
EDG4,-39
HSPD1,-71
ERCC6,593
KAL1,-47
VARS,105
NT5C2,-75
S100A4,9
CCT5,-33
NCR2,-39
WASF3,-47
SEMA4B,-45
QARS,69
SPI1,-115
PTBP1,251
HSF1,-217
C6orf203,3
HAND2,-37
HLA-DQA1,67
DKFZp564J157,-29
NPR3,-45
CLOCK,-47
PDE4D,-19
NR2C1,-83
FXR2,65
KCTD15,-35
COBRA1,-197
IDH3A,-47
RNASE1,-45
ATP5A1,-47
PSIP1,-31
FAM60A,-47
APOH,-23
SIX4,-13
TFAP2C,593
ITK,79
MVD,-63
PHACTR3,-33
SGK3,-55
NCR3,-21
PIP5K1A,-23
ITGB7,-35
C20orf14,-167
EIF5,-65
GSTM3,-47
MGC27019,-47
HSF2BP,-41
C1orf160,-47
MAP4K5,-49
HSPC176,-47
PKP1,-77
FAM96B,-47
CRELD1,-39
HIST2H2BE,13
SEC5L1,1
XK,-45
PRKCI,-57
UGCG,-47
GNPAT,-47
